split,threshold,TP,FP,TN,FN,accuracy,precision,recall,specificity,FPR,F1,F2,ROC_AUC,PR_AP
test,0.2599481881000274,253,396,1755,22,0.8277,0.389831,0.92,0.8159,0.1841,0.547619,0.72327,0.933173,0.695436
test,0.25018935761460015,254,403,1748,21,0.825227,0.386606,0.923636,0.812645,0.187355,0.545064,0.722823,0.933173,0.695436
test,0.23651677839509924,254,412,1739,21,0.821517,0.381381,0.923636,0.808461,0.191539,0.539851,0.719139,0.933173,0.695436
test,0.8962572364089447,113,33,2118,162,0.919621,0.773973,0.410909,0.984658,0.015342,0.536817,0.453451,0.933173,0.695436
test,0.23295033104307697,254,420,1731,21,0.818219,0.376855,0.923636,0.804742,0.195258,0.5353,0.715896,0.933173,0.695436
test,0.22792990316109374,255,427,1724,20,0.815746,0.3739,0.927273,0.801488,0.198512,0.532915,0.715488,0.933173,0.695436
test,0.22222438489220803,255,435,1716,20,0.812448,0.369565,0.927273,0.797768,0.202232,0.528497,0.712291,0.933173,0.695436
test,0.21911111531555655,256,442,1709,19,0.809975,0.366762,0.930909,0.794514,0.205486,0.526208,0.711902,0.933173,0.695436
test,0.9060813316585398,108,30,2121,167,0.918796,0.782609,0.392727,0.986053,0.013947,0.523002,0.436187,0.933173,0.695436
test,0.21493008978347197,256,450,1701,19,0.806678,0.362606,0.930909,0.790795,0.209205,0.521916,0.708749,0.933173,0.695436
test,0.20979395671402362,257,457,1694,18,0.804204,0.359944,0.934545,0.787541,0.212459,0.519717,0.708379,0.933173,0.695436
test,0.20705975937074728,257,465,1686,18,0.800907,0.355956,0.934545,0.783821,0.216179,0.515547,0.705269,0.933173,0.695436
test,0.19952140372644836,257,473,1678,18,0.797609,0.352055,0.934545,0.780102,0.219898,0.511443,0.702186,0.933173,0.695436
test,0.1946395527985127,258,481,1670,17,0.794724,0.34912,0.938182,0.776383,0.223617,0.508876,0.701468,0.933173,0.695436
test,0.1911260726598499,258,489,1662,17,0.791426,0.345382,0.938182,0.772664,0.227336,0.504892,0.69843,0.933173,0.695436
test,0.9203781969673649,102,28,2123,173,0.917148,0.784615,0.370909,0.986983,0.013017,0.503704,0.414634,0.933173,0.695436
test,0.18599230827321933,258,497,1654,17,0.788129,0.341722,0.938182,0.768945,0.231055,0.500971,0.695418,0.933173,0.695436
test,0.18174332973274718,258,505,1646,17,0.784831,0.338139,0.938182,0.765225,0.234775,0.49711,0.692432,0.933173,0.695436
test,0.17365274424704852,258,513,1638,17,0.781533,0.33463,0.938182,0.761506,0.238494,0.493308,0.689471,0.933173,0.695436
test,0.17089795705337146,258,521,1630,17,0.778236,0.331194,0.938182,0.757787,0.242213,0.489564,0.686535,0.933173,0.695436
test,0.16685965694550883,259,528,1623,16,0.775763,0.329098,0.941818,0.754533,0.245467,0.487759,0.686275,0.933173,0.695436
test,0.16274183528023578,260,535,1616,15,0.773289,0.327044,0.945455,0.751278,0.248722,0.485981,0.686016,0.933173,0.695436
test,0.925767153304912,96,26,2125,179,0.915499,0.786885,0.349091,0.987913,0.012087,0.483627,0.392799,0.933173,0.695436
test,0.15966929249087036,260,543,1608,15,0.769992,0.323786,0.945455,0.747559,0.252441,0.482375,0.683132,0.933173,0.695436
test,0.1537865420456501,262,558,1593,13,0.764633,0.319512,0.952727,0.740586,0.259414,0.478539,0.682292,0.933173,0.695436
test,0.15672157691512753,260,552,1599,15,0.766282,0.320197,0.945455,0.743375,0.256625,0.478381,0.679916,0.933173,0.695436
test,0.15020271365396598,262,566,1585,13,0.761336,0.316425,0.952727,0.736867,0.263133,0.475068,0.679461,0.933173,0.695436
test,0.14888534152007188,263,573,1578,12,0.758862,0.314593,0.956364,0.733612,0.266388,0.473447,0.679236,0.933173,0.695436
test,0.14722204633181643,263,581,1570,12,0.755565,0.311611,0.956364,0.729893,0.270107,0.470063,0.67644,0.933173,0.695436
test,0.14465824436708913,263,589,1562,12,0.752267,0.308685,0.956364,0.726174,0.273826,0.466726,0.673668,0.933173,0.695436
test,0.14136334635144646,263,597,1554,12,0.748969,0.305814,0.956364,0.722455,0.277545,0.463436,0.670918,0.933173,0.695436
test,0.9326167316330422,90,24,2127,185,0.91385,0.789474,0.327273,0.988842,0.011158,0.462725,0.370675,0.933173,0.695436
test,0.13905469164506878,263,605,1546,12,0.745672,0.302995,0.956364,0.718735,0.281265,0.460192,0.668191,0.933173,0.695436
test,0.13505849493342864,263,613,1538,12,0.742374,0.300228,0.956364,0.715016,0.284984,0.456994,0.665486,0.933173,0.695436
test,0.9398187856302285,87,19,2132,188,0.914674,0.820755,0.316364,0.991167,0.008833,0.456693,0.360697,0.933173,0.695436
test,0.12979631949468606,264,621,1530,11,0.739489,0.298305,0.96,0.711297,0.288703,0.455172,0.664987,0.933173,0.695436
test,0.1272805871814556,264,629,1522,11,0.736191,0.295633,0.96,0.707578,0.292422,0.452055,0.662318,0.933173,0.695436
test,0.12443773590790012,264,637,1514,11,0.732894,0.293008,0.96,0.703859,0.296141,0.44898,0.65967,0.933173,0.695436
test,0.12102552571868067,264,645,1506,11,0.729596,0.290429,0.96,0.700139,0.299861,0.445946,0.657043,0.933173,0.695436
test,0.11827579456891173,264,653,1498,11,0.726298,0.287895,0.96,0.69642,0.30358,0.442953,0.654437,0.933173,0.695436
test,0.11555060084974873,264,661,1490,11,0.723001,0.285405,0.96,0.692701,0.307299,0.44,0.651852,0.933173,0.695436
test,0.9493668093819938,82,16,2135,193,0.91385,0.836735,0.298182,0.992562,0.007438,0.439678,0.342237,0.933173,0.695436
test,0.11302566804429583,264,669,1482,11,0.719703,0.282958,0.96,0.688982,0.311018,0.437086,0.649287,0.933173,0.695436
test,0.10970182890804632,264,677,1474,11,0.716406,0.280553,0.96,0.685263,0.314737,0.434211,0.646742,0.933173,0.695436
test,0.10761630459165397,265,684,1467,10,0.713932,0.279241,0.963636,0.682008,0.317992,0.433007,0.646657,0.933173,0.695436
test,0.1040647808257848,265,693,1458,10,0.710223,0.276618,0.963636,0.677824,0.322176,0.429846,0.643829,0.933173,0.695436
test,0.10212124389671666,265,701,1450,10,0.706925,0.274327,0.963636,0.674105,0.325895,0.427075,0.641336,0.933173,0.695436
