technique,technique_label,threshold,TP,FP,FN,IGNORED,GT,detections,precision,recall,sensitivity,F1,F2,fp_per_image
nms,NMS,0.15666097060780104,233,505,17,33,250,771,0.3157181571815718,0.932,0.932,0.4716599190283401,0.6703107019562715,2.095435684647303
nms,NMS,0.15513785089144025,234,507,16,34,250,775,0.3157894736842105,0.936,0.936,0.4722502522704339,0.6720275703618611,2.103734439834025
nms,NMS,0.15373255458261312,235,509,15,35,250,779,0.31586021505376344,0.94,0.94,0.4728370221327967,0.6737385321100917,2.112033195020747
nms,NMS,0.1519111338521307,235,513,15,35,250,783,0.3141711229946524,0.94,0.94,0.47094188376753504,0.6721967963386729,2.128630705394191
nms,NMS,0.150169004146444,235,517,15,35,250,787,0.3125,0.94,0.94,0.46906187624750495,0.670662100456621,2.145228215767635
nms,NMS,0.14959471625911053,235,520,15,36,250,791,0.31125827814569534,0.94,0.94,0.4676616915422885,0.6695156695156695,2.1576763485477177
nms,NMS,0.1488700160169496,236,522,14,36,250,794,0.3113456464379947,0.944,0.944,0.46825396825396826,0.6712172923777019,2.1659751037344397
nms,NMS,0.14801862810848235,236,526,14,36,250,798,0.30971128608923887,0.944,0.944,0.46640316205533605,0.6696935300794552,2.1825726141078836
nms,NMS,0.14716711090750506,236,531,14,36,250,803,0.3076923076923077,0.944,0.944,0.46411012782694194,0.6677985285795133,2.203319502074689
nms,NMS,0.14608359351422953,236,534,14,36,250,806,0.3064935064935065,0.944,0.944,0.4627450980392157,0.6666666666666666,2.215767634854772
nms,NMS,0.14459384252569357,236,537,14,37,250,810,0.3053040103492885,0.944,0.944,0.4613880742913001,0.6655386350817822,2.228215767634855
nms,NMS,0.1428563938005594,236,540,14,38,250,814,0.30412371134020616,0.944,0.944,0.4600389863547758,0.6644144144144143,2.240663900414938
nms,NMS,0.14134686392949564,236,544,14,38,250,818,0.30256410256410254,0.944,0.944,0.4582524271844659,0.6629213483146067,2.2572614107883817
nms,NMS,0.14061491710497495,236,548,14,38,250,822,0.3010204081632653,0.944,0.944,0.45647969052224374,0.6614349775784754,2.2738589211618256
nms,NMS,0.13871726117228772,236,552,14,38,250,826,0.29949238578680204,0.944,0.944,0.4547206165703276,0.6599552572706935,2.2904564315352696
